[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=908, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=906, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=905, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=907, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=904, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=902, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=901, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=903, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=900, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=898, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=897, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=899, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=896, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=894, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=893, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=895, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=892, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=890, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=889, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=891, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=888, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=886, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=885, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=881, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=877, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=882, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=878, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=874, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=870, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=866, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=862, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=873, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=869, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=865, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=861, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=857, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=853, errno=104
